Laikotarpis;Rodiklis;Administracinė teritorija;Amžius (0–14, 65 ir vyresni);Matavimo vienetai;Reikšmė
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;30
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;26
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;25
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;24
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;24
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;23
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;23
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;24
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;24
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;25
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;25
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;25
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;33
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;31
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;25
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;23
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;22
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;22
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;21
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;20
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;20
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;19
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;19
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;20
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;20
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Širvintų r. sav.;0–14;asmenys;20
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;28
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;27
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;25
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;24
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;24
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;23
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;22
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;22
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;21
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;20
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;20
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Švenčionių r. sav.;0–14;asmenys;19
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;30
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;28
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;27
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;26
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;25
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;23
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;23
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;22
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;22
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;23
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Trakų r. sav.;0–14;asmenys;23
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;29
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;27
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;26
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;25
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;24
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;23
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;22
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;22
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;21
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;20
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;20
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;20
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;20
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;20
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;24
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;23
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;22
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;21
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;21
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;20
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;20
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;20
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;20
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;20
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;24
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;24
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;25
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;0–14;asmenys;26
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;29
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;28
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;25
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;23
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;23
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;25
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;25
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;25
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;0–14;asmenys;24
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;29
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;28
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;25
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;24
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;23
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;22
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;22
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;20
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;20
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;19
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;19
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;19
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;0–14;asmenys;19
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;33
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;32
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;30
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;25
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;23
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;22
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;29
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;27
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;26
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;25
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;24
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;22
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;21
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;20
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;19
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;19
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;18
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;18
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;18
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;18
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;19
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;19
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;34
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;32
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;31
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;29
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;29
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;28
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;27
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;26
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;25
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;22
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;20
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;20
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;0–14;asmenys;20
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;30
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;23
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;20
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;20
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;19
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;19
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;19
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;19
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;0–14;asmenys;19
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;30
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;28
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;28
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;25
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;25
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;23
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;22
