Rank;Entity;Overall life expectancy at birth;Male life expectancy at birth;Female life expectancy at birth
158; Turkmenistan;70.4;67.4;73.6
159; Mongolia;69.9;65.7;74.4
160; Bolivia;69.5;66.7;72.4
161; Philippines;69.4;65.9;73.1
162; Belize;68.9;67.3;70.6
163; India;68.8;67.6;70.1
164; Guyana;68.6;65.6;71.8
165; Timor-Leste;68.4;66.8;70.1
166; Burma;68.2;66.6;69.9
167; Pakistan;68.1;66.1;70.1
168; Tajikistan;68.1;64.9;71.4
169; Nauru;67.4;63.3;70.9
170; Papua New Guinea;67.3;65.1;69.7
171; Ghana;67;64.5;69.6
172; Tuvalu;66.9;64.7;69.2
173; Kiribati;66.5;64;69.1
174; Madagascar;66.3;64.7;67.8
175; Yemen;65.9;63.7;68.2
176; Togo;65.4;62.8;68.1
177; São Tomé and Príncipe;65.3;63.9;66.7
178; Eritrea;65.2;62.7;67.8
179; The Gambia;65.1;62.8;67.5
180; Cambodia;64.9;62.4;67.5
181; Laos;64.6;62.6;66.7
182; Comoros;64.6;62.3;67
183; Equatorial Guinea;64.6;63.4;65.8
184; Sudan;64.4;62.3;66.7
185; Kenya;64.3;62.8;65.8
186; Rwanda;64.3;62.3;66.3
187; Haiti;64.2;61.6;66.8
188; Namibia;64;62.4;65.6
189; South Africa;63.8;62.4;65.3
190; Djibouti;63.6;61;66.2
191; Sahrawi Arab Democratic Republic;63.4;61.1;65.8
192; Mauritania;63.4;61.1;65.8
193; Botswana;63.3;61.2;65.5
194; Liberia;63.3;61.2;65.5
195; Ethiopia;62.6;60.1;64.7
196; Tanzania;62.6;61.2;64.1
197; Benin;62.3;60.9;63.8
198; Senegal;62.1;60;64.3
199; Malawi;61.7;59.7;63.8
200; Guinea;61;59.5;62.6
201; Burundi;60.9;59.2;62.7
202; Zimbabwe;60.4;58.3;62.5
203; Mali;60.3;58.2;62.5
204; Angola;60.2;58.2;62.3
205; Republic of the Congo;59.8;58.6;61.1
206; Côte d'Ivoire;59;57.8;60.2
207; Cameroon;59;57.6;59.9
208; Sierra Leone;58.6;56;61.3
209; Democratic Republic of the Congo;57.7;56.1;59.3
210; Burkina Faso;55.9;53.8;58
211; Niger;55.9;54.7;57.3
212; Uganda;55.9;54.4;57.3
213; Nigeria;53.8;52.8;55
214; Mozambique;53.7;52.9;54.5
215; Lesotho;53;53;53.1
216; Somalia;52.8;50.7;54.9
217; Central African Republic;52.8;51.4;54.2
218; Zambia;52.7;51.1;54.4
219; Gabon;52.1;51.7;52.5
220; Eswatini (Swaziland);52.1;52.7;51.5
221; Afghanistan;51.7;50.3;53.2
222; Guinea-Bissau;51;48.9;53.1
223; Chad;50.6;49.4;51.9
