Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Lytis;Matavimo vienetai;Reikšmė
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.8
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.7
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.7
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.6
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.6
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.5
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.4
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.3
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.3
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.2
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.1
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.1
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.1
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.1
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.1
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.1
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.2
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai;proc.;46.4
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.2
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.3
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.3
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.4
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.4
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.5
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.6
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.7
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.7
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.8
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.9
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.9
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.9
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.9
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.9
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;54.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.9
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.8
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Moterys;proc.;53.6
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.2
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.2
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.1
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.1
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.1
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.9
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.8
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.7
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.6
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.6
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.6
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.6
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.7
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.6
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.7
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;45.9
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Vyrai;proc.;46.1
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;53.8
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;53.8
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;53.9
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;53.9
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;53.9
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.1
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.2
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.3
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.4
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.4
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.4
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.4
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.3
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.4
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.3
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;54.1
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Sostinės regionas;Iš viso pagal amžių;Moterys;proc.;53.9
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.2
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.2
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.1
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.1
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.1
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.9
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.8
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.7
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.6
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.6
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.6
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.6
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.7
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.6
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.7
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;45.9
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Vyrai;proc.;46.1
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;53.8
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;53.8
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;53.9
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;53.9
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;53.9
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.1
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.2
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.3
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.4
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.4
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.4
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.4
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.3
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.4
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.3
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;54.1
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;Moterys;proc.;53.9
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;48.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.7
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.5
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.4
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.4
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;Vyrai;proc.;47.0
